2025-08-20 15:23:41 | User: admin | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:23:42 | User: admin | Controller: EcommerceMVC.Controllers.HomeController.Index (EcommerceMVC)
2025-08-20 15:23:45 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:23:51 | User: admin | Controller: EcommerceMVC.Controllers.CartController.Index (EcommerceMVC)
2025-08-20 15:27:49 | User: Guest | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:27:55 | User: admin | Controller: EcommerceApp.Controllers.AccountController.Login (EcommerceMVC)
2025-08-20 15:27:56 | User: admin | Controller: EcommerceMVC.Controllers.HomeController.Index (EcommerceMVC)
2025-08-20 15:28:00 | User: admin | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:28:02 | User: admin | Controller: EcommerceMVC.Controllers.CartController.UpdateCart (EcommerceMVC)
2025-08-20 15:28:05 | User: admin | Controller: EcommerceMVC.Controllers.CartController.UpdateCart (EcommerceMVC)
2025-08-20 15:28:10 | User: admin | Controller: EcommerceMVC.Controllers.CartController.Index (EcommerceMVC)
2025-08-20 15:29:39 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:29:43 | User: Guest | Controller: EcommerceMVC.Controllers.CartController.Add (EcommerceMVC)
2025-08-20 15:29:43 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:29:46 | User: Guest | Controller: EcommerceMVC.Controllers.CartController.Add (EcommerceMVC)
2025-08-20 15:29:46 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:29:48 | User: Guest | Controller: EcommerceMVC.Controllers.CartController.Index (EcommerceMVC)
2025-08-20 15:29:50 | User: Guest | Controller: EcommerceMVC.Controllers.BillingController.Checkout (EcommerceMVC)
2025-08-20 15:30:04 | User: Guest | Controller: EcommerceMVC.Controllers.BillingController.Checkout (EcommerceMVC)
2025-08-20 15:30:09 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:47:26 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:47:31 | User: Guest | Controller: EcommerceMVC.Controllers.ProductsController.Index (EcommerceMVC)
2025-08-20 15:47:34 | User: Guest | Controller: EcommerceMVC.Controllers.BillingController.Checkout (EcommerceMVC)
2025-08-20 15:47:35 | User: Guest | Controller: EcommerceMVC.Controllers.CartController.Index (EcommerceMVC)
